EXT_ID,IsWalmart,text,TARGET,Walmart,TRADER JOES,WALGREEN,EXPECT MORE PAY LESS,Save money. Live better.,text_length
58ab4fc9e4b08c6e1ec0a94d,,"?¢G?? ()UNN
( z I

, I
o ' ll 5 II -
XI'U 1 MAW PAY -ESSC

mam 54?¢G?? gm -1.-?¢G??n ?¢G?? >
11 .1?¢G?? AM .xl?¢G??l ;|'~ m 21-17

IIIII""||ZlHlillllulllHlHIHI

~~ H \\ BRA?¢G?? ?¢G??
9 R M ERAS $10.:;
l H: AME $7.""

. ??¡Ó??¡Ó,b4 Ea

. OJ PUPb F $1.
K = ??¡Ó(.80 E3
?¢G??1 ei $3.75 uff 55,35

E :IARH F

$1.2.

!?¢G?? ?¢G?Tr : db,

1 l.'\:'
5 ""WI"";

- ',.?¢G??,U :""1
, r'i???i "".quIi
T=l BAS?¢G?? I
I r?¢G????¢G??\ L4.v

{_.('T??¡Ó>Z"". 1' 4""

i l i;A{F

' . )l ?¢G??2'? 73:1

??1 91$]! Uff ?¢G??2:
?¢G??. T FLME

3' 81 $1?¢G??83 art
, T lARuE

< - ,{.50 ea

*J r1 ?¢FG2! 33 ?¢G?ft

_ _ $J3TUIAI $52.J7
J U); on ?¢FG32.3/ $??¡Ó 24

1UIA1 $57.61

: :5; HA 1.;HA<L.I: $57

. .. .61
AID: AU.UUOUU0310
VISA SRtiI 10

1 IN: LWTES SAVleS

[OIAL S???VCNGS THIS IR[P
389.46",0,1,0,0,0,0,155
58bdf93de4b0d23e37738fbc,,"EXPECT MORE PAY Lass}

ENDAJ..[ HJZIUHJS "" ESU 582 0042
02/ ?¢G??JZ7/2017 01 37 PM EXPIRES 05/28/1/

|J|||JJJJ IIIIJI I'JIJJ JlililJl

PEPPJRJDUt
NAB 8C0

KJNU URANUJA
KIND CRANUJA
GATORAHJ

MP FIIJJHS

GROCJRY
U/JUOUUUU
U/109108.J
071HMVJJJ
P

HENJJJBLAUJY (OSMJJUK )
JJJ/JJJJ. JJJJ?¢G??J [ZOJJJ NJJJJJ
' 57-01425 MJRJ [JUPUH
I UJ.JJAVL
MJR (X )UJUN
UF?¢G?? M(JUJHnHIH
CUJUAJJ HVK
PANJENE

JVJUJAL

RJUIwLva
9.5[JJJ% ?¢G?? ' f .
J.750U% . ?¢FG6 94 $0 ,
TOJAL $48. ?¢G??
J/UbD JARUEJ (ARU $4?¢G?? 3
AID. AJJHJUUJJLJA)Z)Z

Target [?¢G??redit

m INDJCAJES SAVINGS

Today's
R EDcard
Savings

$2.36

TOTAL SAVINGS JHIS TRIP
$7.76

 

?¢G?? '54

Ly:
' Y1",0,0,0,0,1,0,100
58bd6df3e4b0d23e377385c6,,"BGET

EXPEACT MBORE. PAY LESS-

LAFAYETTE - 765- -446 8551
03/05/2017 12: 49 PM |-_XPIRES 06/03/17

I/IIIIIIIIITIIllllllllllll|||T||||||

203130042 POWDER MIK FN $2.01
Cartwheel 5% off $2.12

231140101 QUAKER FN $2. 99
232020056 SUSHI Fl $5. 45

267004011 BANANA FN $0.80
1. 54 Tb @ 10.52/Tb

284060125 SB MILK SUBS FN $2.60
Cartwheel 5% off $2.74

284100206 CHOBANI FN $0.96 ?¢FF
Cartwheel 10% off $1.07

284100228 CHOBANI FN $0.96 1
Cartwheel 10% Off $1.07

284100365 CHOBANI FN $1.04 1
Cartwheel 10% off $1.16

SUBTOTAL $16.81

T = IN TAX 7.0000% on $5.45 $0.38
TOTAL $17.19",1,0,0,0,1,0,94
58bca5c1e4b0d23e37737e33,,"a v
310% MORE. PAY LESS:

URY - 518-792*6016 17
03/04930Iysg1:00 PM EXPIRES 06/02/

llllllllllllllHllllllllllllllll/Hll

. .99
CLEANING SUPPLI , $18.99 5
003070811 1 $2 00?¢G???
003030344 ,0 .
0037000?¢G???1292
0120013727~ FN
_ 210110123 4 0 $2'32v53
' 2 , OCCAR
- 210110241 2 [5.33289 e0 3
"" ' 1 020039 SKIPPY 1;
212020102 SMOCKtRS' 35
231000931 SPECIAL 0 I3
251010190 THOMAS :3
. ,..1 251010935 THOMAS ?¢G?? ~12
, j.,1:, 266080005 510005500111 1

Saved $1100 011 $3 19
270050025 BAGEL 81115 EN
288070794 BREYERS 1N

HEALTH-BEAUIY-COSMETICS
049011487 DOVE BEAUTY
063021808 SUAVE
063021810 SUAVE
063024844 TRESEMME

STATIONERY-OFFICE

053011079 GIFT BAG
053098609 ALL OCCASION
053269775 BABY SHOW R
053300365 BIRTHDAY CAR

TOYS-SPORTING GOODS
087101138 GAME OF LIFE

087121243 TRDNG CARDS
204061956 COOKING TOYS

MISC

790012126 GIFT CARD: A

041-216-678?¢G???934?¢G???5' b 9
New BAL: $25.00 92

1 = NY TAX 7.0000x onSUBIQTAL $151.",0,0,0,0,1,0,141
58924c43e4b018a8bfc287fa,,"TARGET

EXPECT MORE. PAY LESS:

DIEKSUN>BIIY , 570~30047100
01/20/2017 07 21 PM

lllllHllll1|||1Hl|1|||||||||||||||

007020184 PAMPERS N

CLEANING SUPPLIES
003030161 LINT ROLLERS
Saved $3 00 Off

003050935 TOILET DUCK

c ~1 heel 5% off $1.69 ' _
003080705 7&0? 2X T $9.89
Cartwheel 10% off $10.99

ENTERTAINMENT-ELECTRON[CS .
059071063 US WEEKLY 1 $4.99
RETURN BY 02/25/17

GROCERY . ..
071180141 _001E FRT Bw1 FN ..$1-39
Saved $0.58 off $2.47"".
Cartwhee] 30% 011 $1.99 /?¢G??
071180141 DOLE FRT BWL 1N __$1.39
Saved $0.53 off $2.57 -
Cartwheel 30% 01f $1.99
211060099 WAYMOUTH FRM PM $
212080162 HIDDENVALLtY 1H $ _
212120504 BUMBLBEE CAN F0 $3.1h
4 0 $0.79 ea
212180373 CMPBLS SOUP FN $1.3b
Saved $0.60 off $2.29
Cartwheel 20% off $1.69
212180373 CMPBLS SOUP FN $1 35
Saved $0.60 off $2.29
3?¢G?? 9e] 20% off $1.69
212180373 0 ,_._SOUP FN $1.35
Saved $0.60 off $2.29
Cartwheel 20% off $1.69
212180373 CMPBLS SOUP FN $1.35
Saved $0.60 off $2.29
Car1whee1 20% off $1.69
231000157 FRSTD FLAKES FN $2.55
Cartwheel 20% off 13.19
291001065 KIX FN $2.99
261061119 NESOUIK 140/ Fm $1.39

HEALTH""BEAUIY""COSME[ICS' ?¢G?
245040198 KOTEX 5b??i N

SIATIONERY OFFICE _
053040249 0111 840

053040425 GIF1 840 _ 1
053050070 [1550E PAPER -
053333523 LARD 1

_ SUBTUIAI $77.13

Your RbUcard Savings $3.36~

f 3 VA [AX 0.0000% 0n $35.7/ $2.15
101AL $75.92

70022 0111 LARU PAYMINI $10.00
x1022 lARth CARD $65 92
A10. A000000012?¢G??222
Target 010011
10077 hlll UARH HAIANUI 10.00

?¢G??will?¢G??. 11:! HUIIIU 1.111 1wll1?¢G??11l1
m INUIUA||U UAVINhH

 

U -._.?¢G???.M,.........",1,0,0,0,1,0,249
58bc69a0e4b0d23e377376d8,,"llllllllllllllllllllllllll
GROCERY

212040238 MCILHENNY FB
12120021 BUSH'S FB

?12120022 BUSH'S FB
212120025 BUSH'S FB
212120147 BUSH'S FB
212120153 BUSHS BEST FB
2 0 $0.89 ea -

212120244 BUSHS BEST F8
212120407 BUSHS BEST FB
212120410 BUSHS BEST F8
212120670 CHCK SEA CAN FB
., ?¢G?? / 2 0 $1.54 ea

231130043 OKR GRANOLA FB

HEALTH?¢G??BEAUTY?¢G???COSMETICS
037070275 CABOODLES
049000430 ST IVES
049002362 CARESS
049002507 ST. IVES
049002572 CARESS

PETS _
083020613 LITTER PAN $20.97

3 0 $8.99 ea ,.
083100147 LITTER/BED $12.09
0033200??01800 MFR COUPON $3.00~

083100147 LITTER/BED $12.49
0033200-01800 MFR COUPQN?¢G?? $0.00-
083100147 LITTER/BED $12.49
0033200-01800 MFR COUPON $3.00""

SUEggTA% $1g2.g%
' = 10 TAX 8.1000% on .3. .?¢G??
0 = 00 TAX 5.1000% on $19.85 $1.01

TOTAL $113.12

, - -:?¢G?? ?¢G?? TOTAL PAYMENT $110.12

*2604 ULBI' ATO: A0000000980040
03 DEBIT

??? INDICATES SAVINGS

 

TOTAL SAVINGS 1013 TA~A",0,0,0,0,0,0,139
58bc3df1e4b0d23e37737191,,"LERIA ~ 717?¢G???755j2759
03/0493017A51:45 AM EXPIRES 06/02/17

ITIIITITIIIIITIHT||||||||TIT||T||l|

CLEANING SUPPLIES
003070700 GAIN FE

MM FN
GHIRARDELLI FN
M8M'S EN
HERSHEY'S FN
J RNCH FN
J RNCH FN
J RNCH FN
PEEPS FN
PEEPS FN
PEEPS FN
PEEPS FN
PEEPS FN
MARS FN
M8M'S FN
3 0 $1.99 ea
NERDS FN
RUSSEL FN
RUSSEL FN
RUSSEL. FN
PEPPERIDGE FN
3 0 $0.99 ea

055083226
055083251
055083252
055083253
071101061

071200473
071200489
071201112
212020016
212020161
231000054
231000413

CLIF 12PK
CLIF 12PM
CLIF FILL
JIF
JIF

LUCKY CHARMS

CHEERIOS

FN
FN

N
FN
FN
EN
EN

2
Saved $0.80 off $3 79
CN TST CRNCH EN 22.
SEATTLE BEST EN 4
Saved $0.65 off $5.64
NESCAFE FN
QUAKER EN
TASTYKAKL FN $1 00
MP BUNS F $1 29
MP BUNS TN 1.29
MT DEW CR FT 1?¢G??79
MTN DEW DIET FT $5.00 1
2 0 $2.50 ea
Saved $2.38 off $7.38
MP SLICED EN
2 0 $1.99 ea

HEALTH-BEAUTY-COSMETICS
094010309 UP ACETAHTN ???9.49 1

' 231000415
231101014

231101141

231140458
?¢G?? 261000830
. 261012740
- 261012741
'__ 271200068
?¢G?? _ 271200506

$6.99
$2.59

284111112 $3.98 1

245040033 ALWAYS 5.99
245040250 TAMPAX ?¢G?? .929
245040502 UP 3 up 5001 $6.69
245040539 ALWAVS 10201 $599

GLAD T
UP TOWEL T
Saved $1.80 off $4_79
UPUP DISPOSA T
CHARMIN N

Cartwheel MfGCn $0.25?¢G???
?¢G?? L . '

$10.99 1
$2.99 1

$4.19
$16.99",0,0,0,0,0,0,225
58a0c72ae4b0314ab22f9849,,"@TARGET

EXPECT MORE. PAY LESS:

CITYVIEW ~ 817 423-1600
02/12/2017 01:26 PM EXPIRES 05/13/17

llllllllllllll1lllll!llllill||illllll

CLEANING SUPPLIES

003033891

GROCERY
055025038
071080163

071080204
0010300~07163
071080711

071180012

071180330
0034856-01114

071180334
071200962
203160252
0889497-30006
210010086
212140028
212140074

212140195
212180188
212180497

212180574
212180574
0051000*10898
212260749
212340398
0017400-06722
212400155
212400170

A.?¢G?? A Anni 7n

DISHWANDS T

YORK
NUT A/O

FT
. SEED FN
Saved $1.00 Off $3.99

$5.

1.

99

.59

$2
$2
NUT A/O SEED FN $3.
MFR COUPON $1.
PLANTERS FN $5.
cue-?¢G??11 $11 )0 1171?¢G?? $3 79
M14 . 111P rN $1.
?¢G?? :17 1?¢G??1?¢G????.11 1.151.070 UTT $2 12
1"" ?¢G?? FN $1,
1.. 1-1.: 7?¢G?? $1.""
- .. *w??? 011 $2.19
FN $2.
1' 7'11 FN $5.
, FN $2.
;~= 1.1131 _ $0.
0. 11 313-
n 115 1 1.
ngC??li 0 F11 $2.
?¢G??7 A - U 6d
PADTA R ~ -
PROGRE??¡Óggi Em $1'
LAMPBELLS ~ ,'
SWANSON FN
SWANSON FN $1
MFR COUPON $1
OLD EL PASO FN
MINUTE RICE FN $1
MFR COUPON $0
PREGO FN 1:
PREGO FN :1.
match EM . 1",1,0,0,0,1,0,178
58a8b522e4b0fe09880452f1,,"@TARGET

EXPECT MORE PAY LESS:

CUYAHOGA FALLS - 330-928?¢G???0014
02/18/2017 11:53 AM EXPIRES 05/19/17

ltllllllllllllllllTIIIIIIUIIIIHIITI

CLEANING SUPPLIES

003050108 MURPHYS T $3.67 V ?¢G??L'Ihl

003070034 UPUP BLEACH T $1.79 "" ' '
Cartwheel 10% off $1.99 W '

003080561 GAIN LO T $5.39

19723179 Cartwheel MfGCn $2.00-

GROCERY

284020006 MP 2 PC MILK FN $2.54
Cartwhee] 5% off $2.68

284050049 COFFEE-MATE FN $1.83 1
Cartwheel 10% off $2.04

HOME

253060600 SCOTT BATH T $3.99

SUBTOTAL $17.21
T = OH TAX 6,7500% on $14.84 $1.00

TOTAL $18.21
r5798 MASTERCARD CHARGE $18.21

Thanks for using Cartwheel!
i INDICATES SAVINGS

TOTAL SAVINGS THIS TRIP
$2.78

REC??Z-7049-0793-0172-5091-1 VCD#751""250-041

?¢G?? 2 Check out
a credtlve teen. .-
Knggoper?¢G??hewitr.org/competi(Ion

 
    

Not all shopping 33%:
trips are alike.

Share feedback.

    
 

' better.
ke your Target Run .1 . .
NTnute survey about today s tr1p.

Help
Take a 2

Informtarget.ogm
- 95 0920 7982
USBE3?¢FGEunr12 749 089",1,0,0,0,1,0,148
58bc2ac7e4b0d23e37736f03,,"?¢G?? GROCERY

-. ' 210070357

   
  
 
 
  
 
  
  
  
 
 
  
 
  
 
  
   
   
 
    
  

211080234
216310355
261011360
267004011

267014053
267094024

284020005
984060039
284090478
254101093
254101521

286030461
288070943

 

'l7l\l=l(EilEE

EXPECT MORE. PAY Lass}

BOYNTON BEACH ~- _
03/02/2017 03;5?¢FDEB??¡Ó

IIHHIHIHHHIHHIIIHHIIIIIII

SMPLY BALNCD FN
gavidt$1iog off $6.99
ar wwee % rff 5.9?¢G??
NAKED JUICE J $ 9

C'aved $4.00 off 7'
JMONTCHEVRE $ 99

F
PEPPERIDGE F FN

BANANA F
2.47 lb @ $0.59/1b
LEMON . FN

GRAPE PER LB FN
1-63 1b 0 $3.67/1b
MP WHOLE MLK FN
Cartwheel 6% off $3_7n
MP lF M110
Cartwhee!

CHOBANI
STNYFD
Regular P1103 g:
CAPZZA

YASSO CARAME

SMETICS

-561-535-0251
EXPIRES 05/31/17

 

$ .99 g

. off $3.39

HEAllH-BEAUIY~CO

024111403

HOME _
233010729

253030117

AXE .
??arlwhhei 20% Off $5.
$5.24

$12.79
$1.00??

A UPUP [(00 SI
2 @ $2.62 ea
?¢G?? BOUNTY PIPO

073/000-12798 MFR COUPON

257???60205

$15.99 a

A 6 AR N
H MI $1.00?¢G???

001/000-12604 MFR COUPON

253460205

315.99 0

L r' . .
HARMIN $1.00?¢G???

MER COUPON

003/000""12504

1 49050377

?¢G??I'
}?¢G??-r/'I
"" ; '6',?¢G? l/

j . ?¢G??,-- .
-/- . ,
()1 ,4 /f?¢G??(?¢G??, I?¢G?

[RECIAL PROMxiLUN
SHAVE CREAM r]

Refund Valua $3.32
SHAVE CREAM

MrR COUPON .,
Refund Value $3.32
PROUL GEL

HEP COUPON

$4.99 0
$4.09 0
$1.00??

$4.99 0
$1.00

?¢G??I. 1. ,
[100?¢G?? 1/,3?¢G??1 ?¢G??4

1?¢G?? '
x1,
\I

79001232?¢G?

Refund Value 33.33
0111 UARDS
041-216~902 201 904
1?¢G???¢G?? BAL:

$0.00

$5.00

 

I? ll}",0,0,0,0,1,0,230
